PLAYER_ID,PLAYER_NAME_trad,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,TEAM_COUNT,SEASON,PLAYER_NAME_adv,MIN_adv,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG
1628991,Jaren Jackson Jr.,Jaren,1610612763,MEM,21.0,11,4,7,0.364,258.435,53,125,0.424,17,60,0.283,35,42,0.833,17,45,62,12,15,12,18,7,42,35,158,-64,325.4,0,0,309.0,1,2020-21,Jaren Jackson Jr.,23.5,106.0,107.6,107.6,118.1,118.0,118.0,-12.1,-10.5,-10.5,0.074,0.8,7.1,0.06,0.164,0.112,8.8,8.8,0.492,0.551,0.252,0.258,102.09,101.41,84.51,101.41,0.097,543,4.8,11.4
1629020,Jarred Vanderbilt,Jarred,1610612750,MIN,22.0,64,18,46,0.281,1139.305,143,236,0.606,1,5,0.2,57,102,0.559,118,250,368,76,53,64,46,35,123,98,344,-53,1176.6,3,0,1009.0,1,2020-21,Jarred Vanderbilt,17.8,106.9,108.1,108.1,108.2,109.2,109.2,-1.3,-1.1,-1.1,0.091,1.43,18.6,0.096,0.211,0.153,13.0,12.9,0.608,0.612,0.118,0.122,104.82,103.75,86.46,103.75,0.107,2451,2.2,3.7
1629714,Jarrell Brantley,Jarrell,1610612762,UTA,25.0,28,23,5,0.821,138.31333333333333,25,52,0.481,12,28,0.429,2,2,1.0,9,18,27,15,8,7,2,4,17,1,64,-24,137.9,0,0,136.0,1,2020-21,Jarrell Brantley,4.9,105.7,103.0,103.0,114.6,112.1,112.1,-8.9,-9.1,-9.1,0.17,1.88,19.7,0.059,0.125,0.091,10.5,10.5,0.596,0.605,0.182,0.192,101.13,103.59,86.33,103.59,0.096,300,0.9,1.9
1628386,Jarrett Allen,Jarrett,1610612739,CLE,23.0,63,20,43,0.317,1863.5433333333333,298,482,0.618,6,19,0.316,204,290,0.703,196,435,631,106,100,32,90,37,96,263,806,-203,1988.2,25,0,1793.0,2,2020-21,Jarrett Allen,29.6,107.1,108.3,108.3,112.7,113.9,113.9,-5.6,-5.6,-5.6,0.087,1.06,12.9,0.106,0.232,0.17,12.2,12.3,0.624,0.661,0.163,0.165,100.01,98.96,82.47,98.96,0.138,3847,4.7,7.7
1629633,Jarrett Culver,Jarrett,1610612750,MIN,22.0,34,7,27,0.206,499.0916666666666,69,168,0.411,13,53,0.245,29,48,0.604,34,70,104,24,28,17,9,16,58,41,180,-131,390.8,1,0,373.0,1,2020-21,Jarrett Culver,14.7,100.5,99.0,99.0,109.2,109.7,109.7,-8.7,-10.7,-10.7,0.079,0.86,9.9,0.059,0.132,0.094,11.5,11.6,0.449,0.476,0.179,0.185,103.18,103.72,86.44,103.72,0.057,1071,2.0,4.9
1629750,Javonte Green,Javonte,1610612741,CHI,27.0,41,19,22,0.463,473.725,53,102,0.52,10,30,0.333,30,40,0.75,26,45,71,17,19,28,6,5,45,34,146,18,339.7,0,0,312.0,2,2020-21,Javonte Green,11.6,110.8,109.0,109.0,108.7,107.2,107.2,2.1,1.8,1.8,0.048,0.89,11.0,0.056,0.1,0.077,12.3,12.2,0.569,0.61,0.122,0.128,99.68,101.22,84.35,101.22,0.069,999,1.3,2.5
1629637,Jaxson Hayes,Jaxson,1610612740,NOP,21.0,60,24,36,0.4,963.7066666666668,175,280,0.625,6,14,0.429,93,120,0.775,92,165,257,35,39,25,38,20,101,96,449,-21,959.9,0,0,873.0,1,2020-21,Jaxson Hayes,16.1,104.4,104.6,104.6,105.0,105.5,105.5,-0.6,-0.9,-0.9,0.057,0.9,8.6,0.087,0.161,0.124,9.6,9.6,0.636,0.675,0.156,0.16,103.9,103.55,86.29,103.55,0.123,2078,2.9,4.7
1630206,Jay Scrubb,Jay,1610612746,LAC,20.0,4,2,2,0.5,84.18333333333334,14,36,0.389,2,9,0.222,5,5,1.0,2,12,14,1,7,4,0,4,5,6,35,2,58.3,0,0,60.0,1,2020-21,Jay Scrubb,21.0,113.6,112.8,112.8,112.6,115.6,115.6,0.9,-2.8,-2.8,0.015,0.14,2.2,0.022,0.14,0.079,15.2,15.2,0.417,0.458,0.217,0.227,101.34,100.35,83.63,100.35,0.051,179,3.5,9.0
1629121,Jaylen Adams,Jaylen,1610612749,MIL,25.0,7,5,2,0.714,18.12,1,8,0.125,0,2,0.0,0,0,0.0,0,3,3,2,0,0,0,0,1,0,2,-12,8.6,0,0,7.0,1,2020-21,Jaylen Adams,2.6,73.2,69.0,69.0,110.3,100.0,100.0,-37.2,-31.0,-31.0,0.2,0.0,20.0,0.0,0.143,0.067,0.0,0.0,0.125,0.125,0.178,0.192,101.72,109.93,91.61,109.93,-0.017,42,0.1,1.1
1627759,Jaylen Brown,Jaylen,1610612738,BOS,24.0,58,30,28,0.517,1998.631666666667,538,1111,0.484,163,411,0.397,191,250,0.764,71,276,347,195,158,72,32,62,168,237,1430,69,2292.9,10,0,2343.0,1,2020-21,Jaylen Brown,34.5,111.6,113.5,113.5,110.5,111.8,111.8,1.1,1.8,1.8,0.162,1.23,12.4,0.035,0.136,0.085,10.1,10.0,0.558,0.586,0.29,0.295,101.61,100.17,83.48,100.17,0.129,4169,9.3,19.2
